Unit: BTU,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal mining 05,2.5339E+11,2.63695E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11,2.1575E+11
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,1.99344E+11,2.07452E+11,1.69733E+11,1.71665E+11,1.73562E+11,1.75485E+11,1.77345E+11,1.79041E+11,1.80501E+11,1.81727E+11,1.82724E+11,1.83455E+11,1.8426E+11,1.84771E+11,1.85009E+11,1.85112E+11,1.85226E+11,1.85351E+11,1.85474E+11,1.85621E+11,1.85782E+11,1.8596E+11,1.86142E+11,1.8632E+11,1.8649E+11,1.86658E+11,1.86846E+11,1.87027E+11,1.87187E+11,1.8739E+11
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulp paper and printing 17T18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemicals 20,2.25413E+11,2.3458E+11,1.91929E+11,1.93888E+11,1.96035E+11,1.98099E+11,1.99986E+11,2.01659E+11,2.03087E+11,2.04257E+11,2.05164E+11,2.05784E+11,2.06537E+11,2.06971E+11,2.0707E+11,2.06974E+11,2.0688E+11,2.06759E+11,2.06656E+11,2.06577E+11,2.0648E+11,2.06376E+11,2.06265E+11,2.06145E+11,2.0601E+11,2.0591E+11,2.05816E+11,2.05679E+11,2.05571E+11,2.05513E+11
